player_actual_points,visible_dealer_points,player_action,game_result,Unnamed: 0,Unnamed: 0.1,player_actual_points,visible_dealer_points,player_action,game_result
29,11,S,L,37,37,1,1,1,1
29,11,S,W,21,21,1,1,1,1
30,2,S,L,5,5,1,1,1,1
30,2,S,W,18,18,1,1,1,1
30,3,S,L,13,13,1,1,1,1
30,3,S,W,31,31,1,1,1,1
30,4,S,L,3,3,1,1,1,1
30,4,S,W,35,35,1,1,1,1
30,5,S,L,7,7,1,1,1,1
30,5,S,W,32,32,1,1,1,1
30,6,S,L,13,13,1,1,1,1
30,6,S,W,36,36,1,1,1,1
30,7,S,L,7,7,1,1,1,1
30,7,S,W,41,41,1,1,1,1
30,8,S,L,7,7,1,1,1,1
30,8,S,W,45,45,1,1,1,1
30,9,S,L,10,10,1,1,1,1
30,9,S,W,44,44,1,1,1,1
30,10,S,L,86,86,1,1,1,1
30,10,S,W,100,100,1,1,1,1
30,11,S,L,16,16,1,1,1,1
30,11,S,W,21,21,1,1,1,1
31,2,S,L,3,3,1,1,1,1
